id,date,item,amount,customer_id
1,2025-01-02,Basic Wash,12.00,C001
2,2025-01-02,Premium Wash,22.00,C002
3,2025-01-03,Full Detail,85.00,C003
4,2025-01-03,Basic Wash,12.00,C004
5,2025-01-04,Interior Clean,45.00,C005
6,2025-01-04,Wax Add-on,18.00,C001
7,2025-01-05,Basic Wash,12.00,C006
8,2025-01-05,Premium Wash,22.00,C007
9,2025-01-06,Tire Shine,8.00,C002
10,2025-01-06,Full Detail,85.00,C008
11,2025-01-07,Basic Wash,12.00,C009
12,2025-01-07,Engine Clean,35.00,C010
13,2025-01-08,Premium Wash,22.00,C003
14,2025-01-09,Basic Wash,12.00,C011
15,2025-01-10,Interior Clean,45.00,C012
16,2025-01-10,Wax Add-on,18.00,C006
17,2025-01-11,Full Detail,85.00,C001
18,2025-01-11,Basic Wash,12.00,C013
19,2025-01-12,Premium Wash,22.00,C014
20,2025-01-13,Tire Shine,8.00,C004
21,2025-01-13,Basic Wash,12.00,C015
22,2025-01-14,Engine Clean,35.00,C007
23,2025-01-15,Premium Wash,22.00,C002
24,2025-01-16,Full Detail,85.00,C016
25,2025-01-17,Basic Wash,12.00,C005
26,2025-01-18,Interior Clean,45.00,C017
27,2025-01-18,Basic Wash,12.00,C018
28,2025-01-19,Premium Wash,22.00,C008
29,2025-01-20,Wax Add-on,18.00,C003
30,2025-01-21,Basic Wash,12.00,C019
31,2025-01-22,Full Detail,85.00,C009
32,2025-01-23,Tire Shine,8.00,C011
33,2025-01-24,Premium Wash,22.00,C020
34,2025-01-25,Basic Wash,12.00,C001
35,2025-01-26,Engine Clean,35.00,C012
36,2025-01-27,Interior Clean,45.00,C021
37,2025-01-28,Basic Wash,12.00,C022
38,2025-01-29,Premium Wash,22.00,C013
39,2025-01-30,Full Detail,85.00,C006
40,2025-01-31,Basic Wash,12.00,C023
41,2025-02-01,Wax Add-on,18.00,C014
42,2025-02-01,Basic Wash,12.00,C024
43,2025-02-02,Premium Wash,22.00,C002
44,2025-02-03,Interior Clean,45.00,C025
45,2025-02-04,Basic Wash,12.00,C007
46,2025-02-05,Full Detail,85.00,C026
47,2025-02-05,Tire Shine,8.00,C001
48,2025-02-06,Basic Wash,12.00,C027
49,2025-02-07,Premium Wash,22.00,C016
50,2025-02-08,Engine Clean,35.00,C010
51,2025-02-08,Basic Wash,12.00,C028
52,2025-02-09,Interior Clean,45.00,C005
53,2025-02-10,Full Detail,85.00,C003
54,2025-02-11,Basic Wash,12.00,C029
55,2025-02-12,Premium Wash,22.00,C019
56,2025-02-13,Wax Add-on,18.00,C008
57,2025-02-14,Basic Wash,12.00,C030
58,2025-02-14,Full Detail,85.00,C031
59,2025-02-15,Tire Shine,8.00,C013
60,2025-02-16,Basic Wash,12.00,C032
61,2025-02-17,Premium Wash,22.00,C033
62,2025-02-18,Interior Clean,45.00,C004
63,2025-02-19,Basic Wash,12.00,C034
64,2025-02-20,Engine Clean,35.00,C021
65,2025-02-21,Full Detail,85.00,C002
66,2025-02-22,Basic Wash,12.00,C035
67,2025-02-23,Premium Wash,22.00,C001
68,2025-02-24,Wax Add-on,18.00,C017
69,2025-02-25,Basic Wash,12.00,C036
70,2025-02-26,Interior Clean,45.00,C020
71,2025-02-27,Full Detail,85.00,C037
72,2025-02-28,Basic Wash,12.00,C009
73,2025-03-01,Premium Wash,22.00,C038
74,2025-03-02,Tire Shine,8.00,C022
75,2025-03-03,Basic Wash,12.00,C039
76,2025-03-04,Engine Clean,35.00,C006
77,2025-03-05,Interior Clean,45.00,C040
78,2025-03-06,Basic Wash,12.00,C011
79,2025-03-07,Full Detail,85.00,C023
80,2025-03-08,Premium Wash,22.00,C014
81,2025-03-08,Basic Wash,12.00,C041
82,2025-03-09,Wax Add-on,18.00,C005
83,2025-03-10,Interior Clean,45.00,C042
84,2025-03-11,Basic Wash,12.00,C007
85,2025-03-12,Full Detail,85.00,C001
86,2025-03-13,Premium Wash,22.00,C043
87,2025-03-14,Tire Shine,8.00,C029
88,2025-03-15,Basic Wash,12.00,C044
89,2025-03-16,Engine Clean,35.00,C030
90,2025-03-17,Interior Clean,45.00,C019
91,2025-03-18,Full Detail,85.00,C016
92,2025-03-19,Basic Wash,12.00,C045
93,2025-03-20,Premium Wash,22.00,C002
94,2025-03-21,Wax Add-on,18.00,C033
95,2025-03-22,Basic Wash,12.00,C046
96,2025-03-23,Interior Clean,45.00,C047
97,2025-03-24,Full Detail,85.00,C010
98,2025-03-25,Basic Wash,12.00,C003
99,2025-03-26,Premium Wash,22.00,C048
100,2025-03-27,Tire Shine,8.00,C025
101,2025-03-28,Basic Wash,12.00,C049
102,2025-03-29,Engine Clean,35.00,C004
103,2025-03-30,Interior Clean,45.00,C050
104,2025-03-31,Full Detail,85.00,C008
